100000
(9953, 1502)
(7092, 2385)
(6999, 3094)
(4913, 3323)
(179, 3822)
(3757, 1190)
(6094, 141)
(9257, 3840)
(562, 894)
(3360, 549)
(8209, 4935)
(1460, 1207)
(7937, 4382)
(1356, 382)
(3838, 517)
(7498, 241)
(1820, 1040)
(3780, 269)
(8935, 3791)
(8394, 565)
(3766, 3601)
(2908, 4958)
(3544, 2263)
(8600, 556)
(7958, 2058)
(907, 2617)
(8146, 3817)
(9977, 2533)
(8000, 1431)
(9069, 3288)
(1749, 1665)
(4682, 5019)
(7506, 3560)
(5090, 2892)
(7152, 4934)
(4610, 2368)
(8336, 2616)
(7128, 3330)
(9680, 2178)
(8688, 4088)
(389, 1045)
(6507, 4985)
(1015, 1582)
(7320, 4113)
(7815, 1487)
(3554, 1014)
(2953, 3334)
(2187, 1909)
(6696, 2375)
(5954, 298)
(7110, 662)
(7468, 1896)
(4431, 1046)
(28, 4209)
(9377, 166)
(8099, 4864)
(1012, 4704)
(1002, 3477)
(7439, 3420)
(7391, 1704)
(4708, 1043)
(7520, 4111)
(5530, 1157)
(7174, 2324)
(3333, 3226)
(8776, 1893)
(42, 2694)
(8590, 4571)
(9893, 5068)
(8582, 4368)
(35, 3131)
(5385, 2497)
(3988, 1485)
(5775, 1525)
(4707, 3264)
(9383, 865)
(460, 3353)
(9778, 1089)
(9311, 3402)
(4566, 4094)
(6429, 3440)
(5788, 2921)
(2287, 828)
(7294, 2278)
(5698, 2326)
(1447, 2183)
(5258, 3282)
(9482, 696)
(9569, 355)
(3374, 4374)
(4773, 2855)
(6392, 331)
(6009, 2620)
(7573, 418)
(5823, 2238)
(665, 3703)
(1831, 2903)
(1425, 569)
(3533, 3817)
(2648, 681)
(944, 546)
(7665, 2652)
(3629, 3597)
(8149, 3296)
(8754, 1622)
(3823, 3625)
(4278, 1666)
(5109, 1738)
(9087, 2781)
(8309, 5009)
(1172, 4073)
(9865, 4453)
(1777, 1388)
(9823, 1760)
(7, 3922)
(3594, 2401)
(9269, 2710)
(9855, 2996)
(1108, 3102)
(2446, 4960)
(5877, 2719)
(9738, 1606)
(9186, 4946)
(3145, 4724)
(3880, 1552)
(9534, 1502)
(6778, 4497)
(7108, 3654)
(7038, 2030)
(6567, 2143)
(5753, 260)
(698, 1472)
(7771, 651)
(621, 3977)
(4906, 4517)
(5091, 2234)
(2038, 4927)
(3641, 2674)
(6026, 1884)
(2199, 5004)
(4589, 3183)
(7659, 1466)
(3833, 4866)
(6273, 970)
(8049, 4290)
(4266, 3900)
(9351, 5062)
(1525, 3572)
(1866, 2244)
(2351, 3223)
(7915, 2540)
(258, 5051)
(8620, 3997)
(3878, 4745)
(7034, 1176)
(902, 3073)
(512, 3660)
(9340, 4444)
(9679, 2063)
(1567, 2826)
(1155, 931)
(7879, 1956)
(7147, 4502)
(330, 463)
(7899, 2779)
(4839, 912)
(6472, 195)
(2116, 190)
(5345, 1093)
(6088, 3829)
(8422, 2089)
(6704, 4032)
(1902, 1142)
(9629, 1679)
(4359, 1294)
(9306, 612)
(3379, 3635)
(2369, 1976)
(2938, 2797)
(2240, 2287)
(1729, 2178)
(3001, 3299)
(8526, 1567)
(9643, 322)
(7461, 829)
(8952, 981)
(9071, 754)
(1167, 1071)
(8050, 894)
(8903, 2507)
(1990, 4659)
(4272, 467)
(8095, 3091)
(8596, 2483)
(5690, 934)
(4572, 3869)
(4265, 4023)
(8322, 4242)
(5391, 3063)
(9365, 4303)
(45, 3415)
(1437, 4215)
(3971, 2702)
(6439, 2119)
(3398, 441)
(4427, 1838)
(9901, 149)
(7106, 3095)
(8041, 2152)
(5379, 181)
(9239, 1401)
(3852, 3603)
(6577, 2272)
(8998, 3419)
(6488, 3461)
(7523, 1631)
(6677, 4058)
(1999, 2098)
(7914, 3537)
(9018, 1410)
(3779, 4895)
(3049, 3778)
(1197, 1605)
(8026, 4337)
(8558, 4856)
(9319, 2895)
(6058, 3269)
(7651, 4086)
(1694, 1747)
(7306, 3280)
(1361, 4927)
(1065, 3137)
(138, 3162)
(1388, 3150)
(7852, 1857)
(5713, 1729)
(2905, 212)
(1661, 4201)
(7970, 4785)
(3339, 2978)
(9442, 4108)
(7027, 1951)
(2179, 4776)
(838, 323)
(7677, 3242)
(4757, 4136)
(9322, 920)
(3426, 910)
(5235, 1265)
(214, 4538)
(7923, 1025)
(1068, 926)
(7391, 4179)
(1280, 459)
(5118, 4717)
(8239, 1010)
(3627, 364)
(2762, 2256)
(6293, 5050)
(8732, 420)
(4445, 3587)
(5710, 217)
(5660, 586)
(5929, 994)
(6652, 1241)
(333, 1025)
(2067, 2851)
(1753, 908)
(3184, 4483)
(1169, 3400)
(4002, 4506)
(9211, 4079)
(1023, 3424)
(2488, 3766)
(4627, 1318)
(3988, 4171)
(1059, 4796)
(9189, 1817)
(1535, 216)
(3964, 3286)
(7610, 747)
(9112, 1128)
(4752, 2315)
(1837, 3034)
(6600, 3104)
(6235, 2052)
(8763, 1896)
(7284, 1236)
(121, 1222)
(9804, 4847)
(3693, 3890)
(171, 4850)
(9839, 4458)
(7821, 2824)
(828, 1883)
(2263, 3536)
(2432, 1474)
(4465, 3634)
(4942, 2753)
(1469, 2992)
(5658, 4154)
(1197, 872)
(5851, 4931)
(6909, 1071)
(954, 1811)
(7071, 1098)
(6854, 2340)
(5749, 3143)
(2951, 3668)
(769, 229)
(1705, 3130)
(4919, 587)
(757, 834)
(4022, 2150)
(8388, 1941)
(6295, 497)
(5896, 2591)
(1170, 1845)
(2323, 3177)
(4069, 4728)
(1142, 2590)
(627, 3094)
(1083, 2826)
(7391, 4133)
(2648, 4610)
(515, 4451)
(3893, 532)
(1191, 4749)
(1168, 311)
(3052, 1006)
(3405, 4445)
(6304, 4399)
(3189, 2572)
(1045, 1963)
(5551, 1565)
(1492, 3143)
(8956, 3569)
(1038, 138)
(1196, 4879)
(424, 294)
(9290, 1037)
(898, 3282)
(2723, 2187)
(4184, 3989)
(3651, 2334)
(9796, 2154)
(2932, 2551)
(6354, 2572)
(9924, 3850)
(4336, 1925)
(1568, 2278)
(4869, 622)
(648, 2358)
(6913, 3294)
(7038, 3787)
(8390, 2779)
(4626, 4386)
(5862, 2447)
(7727, 1496)
(7589, 1476)
(9983, 3835)
(4784, 3013)
(6187, 2588)
(1738, 2562)
(1239, 1172)
(4288, 2905)
(4603, 4256)
(9681, 349)
(7767, 1692)
(9797, 4903)
(281, 4637)
(7483, 1357)
(176, 4795)
(4957, 3001)
(6092, 3996)
(5631, 2525)
(8984, 513)
(1692, 1622)
(7902, 3528)
(3985, 592)
(9502, 3371)
(4650, 4203)
(3780, 4429)
(5706, 1645)
(7275, 1953)
(2702, 4006)
(2743, 1635)
(5164, 3017)
(6232, 1571)
(7172, 3774)
(5368, 4253)
(1101, 4450)
(9567, 2891)
(5873, 3919)
(2572, 1308)
(5664, 2172)
(833, 413)
(2529, 4711)
(995, 4685)
(2510, 3368)
(2791, 310)
(2175, 632)
(1746, 2437)
(4802, 4428)
(161, 2072)
(3004, 627)
(1126, 555)
(6231, 2143)
(9599, 3554)
(7216, 2269)
(4664, 4330)
(595, 595)
(9544, 4574)
(6459, 638)
(4060, 4067)
(8807, 3301)
(4178, 2433)
(8734, 2375)
(1023, 4986)
(6604, 1283)
(1860, 1058)
(6711, 4436)
(6414, 4392)
(2733, 1111)
(7748, 5047)
(4534, 3862)
(9178, 227)
(4258, 173)
(4602, 815)
(1964, 112)
(6036, 2221)
(8214, 1664)
(4455, 3398)
(8840, 577)
(3185, 543)
(6661, 1495)
(1402, 4822)
(733, 4267)
(9016, 3564)
(6531, 3214)
(9764, 1163)
(1877, 392)
(6191, 1233)
(366, 891)
(3201, 2428)
(2156, 4335)
(9451, 468)
(5801, 4004)
(3667, 1091)
(5734, 3303)
(6435, 2493)
(4599, 4288)
(8469, 430)
(4708, 2583)
(5147, 1337)
(598, 5009)
(2302, 2573)
(203, 3591)
(4959, 2019)
(5636, 4610)
(9249, 2890)
(3747, 150)
(4512, 998)
(5307, 4629)
(6890, 1140)
(7733, 4776)
(9786, 3783)
(217, 3353)
(366, 5023)
(2089, 612)
(6161, 4137)
(6774, 4913)
(7863, 3427)
(3306, 4272)
(248, 392)
(3684, 947)
(9435, 3881)
(898, 4045)
(9680, 2655)
(8476, 3020)
(3596, 2659)
(8949, 4833)
(1243, 616)
(7987, 1708)
(440, 1527)
(3473, 3052)
(1817, 1697)
(7766, 4779)
(9926, 2522)
(8852, 1624)
(2715, 2634)
(2372, 2249)
(6316, 4720)
(2447, 2446)
(2176, 1021)
(1620, 2223)
(9834, 667)
